epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.254,1.05167,1.21069,1.02865,0.65965,0.73845,0.7151,0.54435,0.88853,1.00392,0.96488,0.000416309,0.000416309,0.000416309
2,323.431,0.97087,0.78918,0.99887,0.87301,0.76206,0.84914,0.67052,0.84256,0.6043,0.95497,0.000816483,0.000816483,0.000816483
3,460.002,0.95277,0.71468,0.99556,0.83913,0.77471,0.85369,0.67944,0.86099,0.60251,0.95609,0.00120016,0.00120016,0.00120016
4,588.707,0.92563,0.67211,0.98855,0.83868,0.80827,0.86762,0.70007,0.77561,0.54311,0.94254,0.00117575,0.00117575,0.00117575
5,716.503,0.89578,0.62826,0.97799,0.87712,0.7971,0.87942,0.71983,0.76908,0.5495,0.93589,0.001151,0.001151,0.001151
6,845.249,0.87471,0.60216,0.97103,0.90153,0.83727,0.9182,0.75624,0.75876,0.50928,0.9274,0.00112625,0.00112625,0.00112625
7,973.775,0.85992,0.58204,0.96528,0.91521,0.8174,0.907,0.75654,0.73557,0.48277,0.91892,0.0011015,0.0011015,0.0011015
8,1100.84,0.84562,0.56877,0.95941,0.921,0.82482,0.91845,0.76703,0.74731,0.48626,0.92275,0.00107675,0.00107675,0.00107675
9,1285.47,0.83437,0.5525,0.95396,0.85145,0.86318,0.91593,0.76693,0.72614,0.46397,0.91986,0.001052,0.001052,0.001052
10,1412.91,0.82795,0.54155,0.95212,0.85783,0.83313,0.89812,0.74976,0.73198,0.49131,0.92335,0.00102725,0.00102725,0.00102725
11,1540.14,0.81761,0.52908,0.94846,0.89207,0.85234,0.93363,0.79153,0.71106,0.44654,0.91326,0.0010025,0.0010025,0.0010025
12,1700.41,0.8112,0.52246,0.94577,0.90688,0.83575,0.92553,0.78526,0.71066,0.44241,0.91572,0.00097775,0.00097775,0.00097775
